city,state,num_restaurants_by_city
"http://dbpedia.org/resource/Grande_Prairie","http://dbpedia.org/resource/Texas","2"
"http://dbpedia.org/resource/Cedar_Park,_Texas","http://dbpedia.org/resource/Texas","2"
"http://dbpedia.org/resource/Bryan–College_Station","http://dbpedia.org/resource/Texas","2"
"http://dbpedia.org/resource/Grapevine,_Texas","http://dbpedia.org/resource/Texas","2"
"http://dbpedia.org/resource/Southlake,_Texas","http://dbpedia.org/resource/Texas","2"
"http://dbpedia.org/resource/Pasadena,_Texas","http://dbpedia.org/resource/Texas","2"
"http://dbpedia.org/resource/McAllen,_Texas","http://dbpedia.org/resource/Texas","2"
"http://dbpedia.org/resource/Trenton,_Ontario","http://dbpedia.org/resource/Treaty_of_Brownstown","2"
"http://dbpedia.org/resource/Bob_Layton","http://dbpedia.org/resource/Utah","2"
"http://dbpedia.org/resource/Hilton_Head_Island,_South_Carolina","http://dbpedia.org/resource/Vasas_SC","2"
"http://dbpedia.org/resource/Dayton,_Ohio","http://dbpedia.org/resource/Washington_Township","2"
"http://dbpedia.org/resource/Stillwater,_Oklahoma","http://www.city.ac.uk/ds/inm713/feiphoon#oak_park_hts","2"
"http://dbpedia.org/resource/Hollywood","http://www.city.ac.uk/ds/inm713/feiphoon#pembroke_pnes","2"
"http://dbpedia.org/resource/Mobile_game","http://dbpedia.org/resource/Algeria","1"
"http://dbpedia.org/resource/Bernard_Montgomery","http://dbpedia.org/resource/Algeria","1"
"http://dbpedia.org/resource/Snohomish,_Washington","http://dbpedia.org/resource/Anderson_County_Courthouse_(Kansas)","1"
"http://dbpedia.org/resource/Loveland_frog","http://dbpedia.org/resource/Andrew_Murdock","1"
"http://dbpedia.org/resource/Glendale,_Ohio","http://dbpedia.org/resource/Arizona","1"
"http://dbpedia.org/resource/Chas_Chandler","http://dbpedia.org/resource/Arizona","1"
"http://dbpedia.org/resource/Hank_Williams","http://dbpedia.org/resource/Arizona","1"
"http://dbpedia.org/resource/Norm_Prescott","http://dbpedia.org/resource/Arizona","1"
"http://dbpedia.org/resource/Sedona,_Arizona","http://dbpedia.org/resource/Arizona","1"
"http://dbpedia.org/resource/Prescott_Valley,_Arizona","http://dbpedia.org/resource/Arizona","1"
"http://dbpedia.org/resource/Lake_Havasu_City_Airport","http://dbpedia.org/resource/Arizona","1"
"http://dbpedia.org/resource/Cave_Creek,_Arizona","http://dbpedia.org/resource/Arizona","1"
"http://dbpedia.org/resource/Vale_of_Tempe","http://dbpedia.org/resource/Arizona","1"
"http://dbpedia.org/resource/Show_Low_Lake","http://dbpedia.org/resource/Arizona","1"
"http://dbpedia.org/resource/Flagstaff_War","http://dbpedia.org/resource/Arizona","1"
"http://dbpedia.org/resource/Americus,_Georgia","http://dbpedia.org/resource/Atlanta","1"
"http://dbpedia.org/resource/Neal_McDonough","http://dbpedia.org/resource/Atlanta","1"
"http://dbpedia.org/resource/Stockbridge,_Georgia","http://dbpedia.org/resource/Atlanta","1"
"http://dbpedia.org/resource/Kennesaw,_Georgia","http://dbpedia.org/resource/Atlanta","1"
"http://dbpedia.org/resource/Athens","http://dbpedia.org/resource/Atlanta","1"
"http://dbpedia.org/resource/Katy_Perry","http://dbpedia.org/resource/Atlanta","1"
"http://dbpedia.org/resource/Lawrenceville_School","http://dbpedia.org/resource/Atlanta","1"
"http://dbpedia.org/resource/Sabal_palmetto","http://dbpedia.org/resource/Atlanta","1"
"http://dbpedia.org/resource/Blowing_Rock,_Virginia","http://dbpedia.org/resource/Bamboo","1"
"http://dbpedia.org/resource/Marlton_School","http://dbpedia.org/resource/Battle_of_Evesham","1"
"http://dbpedia.org/resource/Penn_State_Wilkes-Barre","http://dbpedia.org/resource/Birds_of_Prey_(TV_series)","1"
"http://dbpedia.org/resource/FC_Santa_Clarita","http://dbpedia.org/resource/Bouquet_Canyon,_California","1"
"http://dbpedia.org/resource/Bowie_Lam","http://dbpedia.org/resource/Bowie,_Maryland","1"
"http://dbpedia.org/resource/Mechanicsburg,_Ohio","http://dbpedia.org/resource/Brandsville,_Missouri","1"
"http://dbpedia.org/resource/Massapequa,_New_York","http://dbpedia.org/resource/Brooklyn","1"
"http://dbpedia.org/resource/Mount_Kisco_station","http://dbpedia.org/resource/Brooklyn","1"
"http://dbpedia.org/resource/Campbell_Hall","http://dbpedia.org/resource/Brooklyn","1"
"http://dbpedia.org/resource/Pound_Ridge_massacre","http://dbpedia.org/resource/Brooklyn","1"
"http://dbpedia.org/resource/Asplenium_ceterach","http://dbpedia.org/resource/Brooklyn","1"
"http://dbpedia.org/resource/Westbury-on-Trym","http://dbpedia.org/resource/Brooklyn","1"
"http://dbpedia.org/resource/Hyde_Park,_Boston","http://dbpedia.org/resource/Brooklyn","1"
