restaurant,name,address,city,state,postcode,country
http://www.city.ac.uk/ds/inm713/feiphoon#joeys_n_y_pizza_11165_s_eastern_ave_henderson_nv_89052_us,Joey's N Y Pizza,11165 S Eastern Ave,Henderson,NV,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#nonnas_pizza_52_lake_st_white_plains_north_white_plains_10603_us,Nonna's Pizza,52 Lake St,White Plains,North White Plains,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#joes_new_york_pizza_pasta_1070_palm_coast_pkwy_nw_palm_coast_fl_32137_us,Joe's New York Pizza Pasta,1070 Palm Coast Pkwy Nw,Palm Coast,FL,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#spinellis_pizza_2905_goose_creek_rd_louisville_brownsboro_farm_40241_us,Spinelli's Pizza,2905 Goose Creek Rd,Louisville,Brownsboro Farm,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#mineos_wings_pizza_and_raw_bar_4261_griffin_rd_fort_lauderdale_dania_beach_33314_us,Mineo's Wings, Pizza & Raw Bar,4261 Griffin Rd,Fort Lauderdale,Dania Beach,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#mineos_wings_pizza_and_raw_bar_4261_griffin_rd_fort_lauderdale_dania_beach_33314_us,Mineo's Wings, Pizza & Raw Bar,4261 Griffin Rd,Ft Lauderdale,Dania Beach,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#sals_italian_ristorante_6280_w_sample_rd_pompano_beach_fl_33067_us,Sal's Italian Ristorante,6280 W Sample Rd,Pompano Beach,FL,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#franks_pizzeria_711_n_132nd_st_omaha_ne_68154_us,Frank's Pizzeria,711 N 132nd St,Omaha,NE,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#davanti_enoteca_little_italy_1655_india_st_san_diego_ca_92101_us,Davanti Enoteca - Little Italy,1655 India St,San Diego,CA,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#mr_jims_pizza_inc_1604_n_state_highway_161_grand_prairie_tx_75050_us,Mr Jims Pizza Inc,1604 N State Highway 161,Grand Prairie,TX,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#daddys_pizza_902_13th_st_saint_cloud_fl_34769_us,Daddy's Pizza,902 13th St,Saint Cloud,FL,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#mama_pepinos_pizza_2417_oneil_blvd_mckeesport_pa_15131_us,Mama Pepino's Pizza,2417 Oneil Blvd,Mckeesport,PA,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#the_10th_mid_vail_area_on_vail_mtn_vail_west_vail_81657_us,The 10th,Mid Vail Area On Vail Mtn,Vail,West Vail,None,US
